Wavelength,n,k
400,5.49655367,0.285170605
401.29,5.46398556,0.27451674
402.6,5.43216362,0.264251499
403.91,5.4010448,0.254355936
405.23,5.37058491,0.244821849
406.56,5.34074911,0.235625967
407.89,5.31150336,0.226764898
409.24,5.28282022,0.218231953
410.6,5.25467343,0.210014063
411.96,5.22704472,0.202115808
413.33,5.19990946,0.194527279
414.72,5.17325677,0.187241012
416.11,5.14707142,0.180264327
417.51,5.12133847,0.173581425
418.92,5.09605564,0.167190068
420.34,5.0712114,0.161090754
421.77,5.04679474,0.155268399
423.21,5.02280809,0.14972234
424.66,4.99924027,0.14444502
426.12,4.97608308,0.139422717
427.59,4.95334228,0.134655436
429.07,4.93101082,0.130128234
430.56,4.90906857,0.125829862
432.06,4.8875399,0.121759882
433.57,4.86639299,0.117898539
435.09,4.84563695,0.114239026
436.62,4.82526725,0.110774583
438.16,4.80527106,0.107488364
439.72,4.78564762,0.104375862
441.28,4.76639076,0.101425509
442.86,4.74749319,0.098623776
444.44,4.72895467,0.09596839
446.04,4.71076073,0.093444245
447.65,4.69290036,0.091042128
449.28,4.67538222,0.088760195
450.91,4.65817999,0.086582597
452.55,4.64129693,0.084504797
454.21,4.62473027,0.082521571
455.88,4.60846049,0.080620978
457.56,4.59248933,0.078801522
459.26,4.57680725,0.077055127
460.97,4.56140129,0.075373654
462.69,4.54627207,0.073758061
464.42,4.53140516,0.072198106
466.17,4.51679289,0.07068983
467.92,4.5024387,0.069233848
469.7,4.48832174,0.067820654
471.48,4.47444422,0.066449788
473.28,4.4607964,0.065119261
475.1,4.44737215,0.063822545
476.92,4.43416631,0.062561416
478.76,4.42116793,0.061331434
480.62,4.40837629,0.060128939
482.49,4.39578565,0.058957104
484.38,4.38338709,0.05780964
486.27,4.37117508,0.056686049
488.19,4.35914888,0.055588028
490.12,4.34729842,0.054510358
492.06,4.33562074,0.053454522
494.02,4.3241159,0.052419737
496,4.3127717,0.051403011
497.99,4.30159046,0.050406783
500,4.2905631,0.049428448
502.02,4.27968904,0.048466537
504.07,4.2689685,0.047524257
506.12,4.25838742,0.04659751
508.2,4.24794752,0.045686971
510.29,4.23765084,0.044793933
512.4,4.22748549,0.043915477
514.52,4.21745384,0.043053181
516.67,4.20755738,0.042206466
518.83,4.19777973,0.04137379
521.01,4.18813383,0.040557213
523.21,4.17860654,0.039754789
