Wavelength (nm),Condition Number
500.00000000000006,7.834070465627642e+29
501.25313283208027,7.795251663459797e+29
502.5062656641605,7.756719945378697e+29
503.75939849624064,7.718472494615527e+29
505.01253132832085,7.68050652877737e+29
506.265664160401,7.642819299346262e+29
507.5187969924812,7.605408091186678e+29
508.7719298245614,7.568270222061411e+29
510.0250626566416,7.531403042155501e+29
511.2781954887218,7.494803933608241e+29
512.5313283208021,7.458470310053005e+29
513.7844611528822,7.422399616164751e+29
515.0375939849624,7.386589327215075e+29
516.2907268170427,7.351036948634728e+29
517.5438596491229,7.315740015583289e+29
518.796992481203,7.280696092526077e+29
520.0501253132832,7.245902772817985e+29
521.3032581453635,7.211357678294198e+29
522.5563909774436,7.177058458867655e+29
523.8095238095239,7.143002792133089e+29
525.0626566416041,7.10918838297759e+29
526.3157894736842,7.075612963197503e+29
527.5689223057644,7.042274291121557e+29
528.8220551378446,7.00917015124018e+29
530.075187969925,6.976298353840759e+29
531.328320802005,6.943656734648866e+29
532.5814536340852,6.911243154475232e+29
533.8345864661655,6.879055498868434e+29
535.0877192982456,6.847091677773183e+29
536.3408521303259,6.815349625194039e+29
537.5939849624061,6.783827298864586e+29
538.8471177944862,6.752522679921817e+29
540.1002506265664,6.72143377258574e+29
541.3533834586466,6.690558603844127e+29
542.606516290727,6.659895223142143e+29
543.859649122807,6.62944170207704e+29
545.1127819548872,6.599196134097532e+29
546.3659147869676,6.569156634207997e+29
547.6190476190476,6.539321338677323e+29
548.8721804511279,6.50968840475227e+29
550.125313283208,6.480256010375373e+29
551.3784461152883,6.451022353907239e+29
552.6315789473684,6.421985653853147e+29
553.8847117794486,6.393144148593934e+29
555.137844611529,6.364496096121035e+29
556.390977443609,6.3360397737756554e+29
557.6441102756892,6.3077734779919166e+29
558.8972431077694,6.279695524044028e+29
560.1503759398496,6.251804245797308e+29
561.4035087719299,6.224097995463046e+29
562.65664160401,6.196575143357091e+29
563.9097744360903,6.16923407766219e+29
565.1629072681704,6.14207320419387e+29
566.4160401002506,6.1150909461699566e+29
567.669172932331,6.088285743983548e+29
568.922305764411,6.061656054979462e+29
570.1754385964912,6.035200353234027e+29
571.4285714285714,6.0089171293382276e+29
572.6817042606517,5.982804890184108e+29
573.9348370927319,5.956862158754369e+29
575.187969924812,5.9310874739151556e+29
576.4411027568923,5.9054793902118935e+29
577.6942355889724,5.880036477668238e+29
578.9473684210526,5.854757321587958e+29
580.2005012531329,5.829640522359801e+29
581.4536340852131,5.8046846952652546e+29
582.7067669172932,5.779888470289146e+29
583.9598997493734,5.7552504919330215e+29
585.2130325814537,5.7307694190313234e+29
