Wavelength (nm),Dipole Moment Sphere 1 (C·m²/V),Dipole Moment Sphere 2 (C·m²/V)
500.00000000000006,6.2341551956743306e-24,6.2341551956743306e-24
501.25313283208027,6.2343971954193604e-24,6.2343971954193604e-24
502.5062656641605,6.234637414820049e-24,6.234637414820049e-24
503.75939849624064,6.234875871229599e-24,6.234875871229599e-24
505.01253132832085,6.2351125817911095e-24,6.2351125817911095e-24
506.265664160401,6.235347563440634e-24,6.235347563440634e-24
507.5187969924812,6.2355808329101405e-24,6.2355808329101405e-24
508.7719298245614,6.235812406730459e-24,6.235812406730459e-24
510.0250626566416,6.2360423012341566e-24,6.2360423012341566e-24
511.2781954887218,6.2362705325583734e-24,6.2362705325583734e-24
512.5313283208021,6.236497116647617e-24,6.236497116647617e-24
513.7844611528822,6.236722069256498e-24,6.236722069256498e-24
515.0375939849624,6.236945405952432e-24,6.236945405952432e-24
516.2907268170427,6.2371671421182875e-24,6.2371671421182875e-24
517.5438596491229,6.237387292955005e-24,6.237387292955005e-24
518.796992481203,6.237605873484146e-24,6.237605873484146e-24
520.0501253132832,6.237822898550433e-24,6.237822898550433e-24
521.3032581453635,6.238038382824229e-24,6.238038382824229e-24
522.5563909774436,6.2382523408039765e-24,6.2382523408039765e-24
523.8095238095239,6.2384647868186044e-24,6.2384647868186044e-24
525.0626566416041,6.2386757350298834e-24,6.2386757350298834e-24
526.3157894736842,6.2388851994347685e-24,6.2388851994347685e-24
527.5689223057644,6.239093193867673e-24,6.239093193867673e-24
528.8220551378446,6.239299732002724e-24,6.239299732002724e-24
530.075187969925,6.2395048273559774e-24,6.2395048273559774e-24
531.328320802005,6.239708493287603e-24,6.239708493287603e-24
532.5814536340852,6.239910743004024e-24,6.239910743004024e-24
533.8345864661655,6.240111589560022e-24,6.240111589560022e-24
535.0877192982456,6.240311045860837e-24,6.240311045860837e-24
536.3408521303259,6.240509124664176e-24,6.240509124664176e-24
537.5939849624061,6.240705838582259e-24,6.240705838582259e-24
538.8471177944862,6.240901200083777e-24,6.240901200083777e-24
540.1002506265664,6.24109522149585e-24,6.24109522149585e-24
541.3533834586466,6.241287915005944e-24,6.241287915005944e-24
542.606516290727,6.241479292663754e-24,6.241479292663754e-24
543.859649122807,6.241669366383071e-24,6.241669366383071e-24
545.1127819548872,6.241858147943603e-24,6.241858147943603e-24
546.3659147869676,6.242045648992775e-24,6.242045648992775e-24
547.6190476190476,6.242231881047511e-24,6.242231881047511e-24
548.8721804511279,6.242416855495974e-24,6.242416855495974e-24
550.125313283208,6.2426005835992755e-24,6.2426005835992755e-24
551.3784461152883,6.2427830764931805e-24,6.2427830764931805e-24
552.6315789473684,6.242964345189765e-24,6.242964345189765e-24
553.8847117794486,6.2431444005790574e-24,6.2431444005790574e-24
555.137844611529,6.24332325343065e-24,6.24332325343065e-24
556.390977443609,6.243500914395294e-24,6.243500914395294e-24
557.6441102756892,6.243677394006458e-24,6.243677394006458e-24
558.8972431077694,6.2438527026818806e-24,6.2438527026818806e-24
560.1503759398496,6.244026850725072e-24,6.244026850725072e-24
561.4035087719299,6.244199848326821e-24,6.244199848326821e-24
