Wavelength (nm),Sphere 1 |α1(λ)|
500.00000000000006,5.048234926772103e-20
501.25313283208027,5.083480344889065e-20
502.5062656641605,5.1167399691432247e-20
503.75939849624064,5.148125292552625e-20
505.01253132832085,5.177746682895011e-20
506.265664160401,5.205712766371264e-20
507.5187969924812,5.2321299405333525e-20
508.7719298245614,5.2571019990841487e-20
510.0250626566416,5.280729852948102e-20
511.2781954887218,5.303111333687172e-20
512.5313283208021,5.324341066895852e-20
513.7844611528822,5.344510404651867e-20
515.0375939849624,5.3637074074255586e-20
516.2907268170427,5.38201686706238e-20
517.5438596491229,5.3995203635527514e-20
518.796992481203,5.4162963492950934e-20
520.0501253132832,5.432420255447614e-20
521.3032581453635,5.447964615757323e-20
522.5563909774436,5.462999203958662e-20
523.8095238095239,5.477591181454968e-20
525.0626566416041,5.491805252541969e-20
526.3157894736842,5.505703824909601e-20
527.5689223057644,5.519347173574516e-20
528.8220551378446,5.532793606756342e-20
530.075187969925,5.546099632522975e-20
531.328320802005,5.559320125298898e-20
532.5814536340852,5.572508491561797e-20
533.8345864661655,5.58571683425062e-20
535.0877192982456,5.598996115577571e-20
536.3408521303259,5.612396318081145e-20
537.5939849624061,5.625966603880556e-20
538.8471177944862,5.639755472197071e-20
540.1002506265664,5.653810915297621e-20
541.3533834586466,5.668180573092975e-20
542.606516290727,5.68291188668901e-20
543.859649122807,5.698052251246946e-20
545.1127819548872,5.713649168558659e-20
546.3659147869676,5.729750399787784e-20
547.6190476190476,5.746404118867406e-20
548.8721804511279,5.763659067081937e-20
550.125313283208,5.781564709395415e-20
551.3784461152883,5.800171393121266e-20
552.6315789473684,5.819530509561164e-20
553.8847117794486,5.839694659272415e-20
555.137844611529,5.860717821656258e-20
556.390977443609,5.882655529592769e-20
557.6441102756892,5.905565049882914e-20
558.8972431077694,5.929505570294713e-20
560.1503759398496,5.95453839404876e-20
561.4035087719299,5.980727142618552e-20
562.65664160401,6.008137967763443e-20
563.9097744360903,6.036839773756607e-20
565.1629072681704,6.066904450816645e-20
566.4160401002506,6.098407120799671e-20
567.669172932331,6.131426396258326e-20
568.922305764411,6.166044654024186e-20
570.1754385964912,6.202348324520516e-20
571.4285714285714,6.240428198061218e-20
572.6817042606517,6.280379749438818e-20
573.9348370927319,6.322303482146581e-20
575.187969924812,6.366305293615698e-20
576.4411027568923,6.412496862875389e-20
577.6942355889724,6.460996062056666e-20
578.9473684210526,6.511927393156911e-20
580.2005012531329,6.565422451454693e-20
581.4536340852131,6.621620416906854e-20
582.7067669172932,6.680668574763438e-20
583.9598997493734,6.74272286649003e-20
585.2130325814537,6.807948471878355e-20
586.4661654135339,6.876520422939077e-20
587.719298245614,6.948624249784945e-20
588.9724310776943,7.024456658204923e-20
590.2255639097745,7.104226237971254e-20
591.4786967418546,7.188154200075887e-20
592.7318295739349,7.276475140018443e-20
593.9849624060151,7.369437822912668e-20
595.2380952380952,7.467305984480723e-20
596.4912280701755,7.570359139890091e-20
597.7443609022557,7.678893389767749e-20
598.9974937343359,7.793222209496021e-20
600.250626566416,7.913677203928094e-20
601.5037593984962,8.040608804814811e-20
602.7568922305766,8.174386882335996e-20
604.0100250626566,8.315401234984193e-20
605.2631578947369,8.464061913433246e-20
606.5162907268171,8.620799323685565e-20
607.7694235588972,8.786064042458278e-20
609.0225563909775,8.960326263140465e-20
610.2756892230577,9.144074773430029e-20
611.528822055138,9.337815345646244e-20
612.781954887218,9.542068397453242e-20
614.0350877192982,9.757365754151454e-20
615.2882205513786,9.984246313763621e-20
616.5413533834586,1.0223250383066293e-19
617.7944862155389,1.0474912417050272e-19
619.0476190476192,1.0739751857108426e-19
620.3007518796992,1.1018261726353087e-19
621.5538847117795,1.1310894606648812e-19
622.8070175438596,1.1618045595332944e-19
624.06015037594,1.1940031825998845e-19
625.31328320802,1.2277068145034413e-19
626.5664160401002,1.2629238574234667e-19
627.8195488721806,1.2996463272858853e-19
629.0726817042606,1.3378460855902317e-19
630.3258145363409,1.3774706147363087e-19
631.578947368421,1.4184383767408773e-19
632.8320802005013,1.4606338389118687e-19
634.0852130325815,1.5039023067787085e-19
635.3383458646616,1.5480447747519103e-19
636.591478696742,1.592813087258429e-19
637.844611528822,1.6379057935120823e-19
639.0977443609022,1.6829651701202157e-19
640.3508771929826,1.7275759655690134e-19
641.6040100250626,1.771266472861086e-19
642.8571428571429,1.8135125408981077e-19
644.110275689223,1.8537450695457811e-19
645.3634085213033,1.891361377768511e-19
646.6165413533835,1.925740576633286e-19
647.8696741854636,1.9562627216419074e-19
649.122807017544,1.9823310845594517e-19
650.375939849624,2.0033964202111356e-19
651.6290726817042,2.0189816767529618e-19
652.8822055137845,2.0287052891675365e-19
654.1353383458647,2.0323010819868312e-19
655.3884711779449,2.0296329417973284e-19
656.641604010025,2.0207028147609655e-19
657.8947368421053,2.0056511998265207e-19
659.1478696741855,1.9847500573475417e-19
660.4010025062656,1.9583888176447405e-19
661.6541353383459,1.9270548327466385e-19
662.9072681704262,1.8913100690575705e-19
664.1604010025062,1.8517660355156437e-19
665.4135338345865,1.8090588795665586e-19
666.6666666666667,1.7638263065193463e-19
667.9197994987469,1.716687560506556e-19
669.172932330827,1.6682272304098324e-19
670.4260651629073,1.6189831859904266e-19
671.6791979949876,1.56943856196321e-19
672.9323308270676,1.5200174202356785e-19
674.1854636591479,1.4710835399071921e-19
675.4385964912282,1.422941701099085e-19
676.6917293233082,1.3758408227350235e-19
677.9448621553885,1.3299783629917888e-19
679.1979949874687,1.2855054723471783e-19
680.4511278195489,1.2425324847591155e-19
681.704260651629,1.2011344290943212e-19
682.9573934837093,1.1613563317513065e-19
684.2105263157896,1.1232181577120105e-19
685.4636591478696,1.0867192992057165e-19
686.7167919799499,1.0518425689824126e-19
687.9699248120302,1.0185576902649643e-19
689.2230576441102,9.868242997465789e-20
690.4761904761905,9.565944956394395e-20
691.7293233082708,9.278149717656238e-20
692.982456140351,9.004287827708209e-20
694.2355889724311,8.743767861888177e-20
695.4887218045112,8.495988054428822e-20
696.7418546365916,8.260345548154645e-20
697.9949874686716,8.036243635940232e-20
699.2481203007519,7.823097324625109e-20
700.5012531328322,7.620337510624572e-20
701.7543859649122,7.427414016902637e-20
703.0075187969925,7.243797704440986e-20
704.2606516290726,7.068981838421592e-20
705.513784461153,6.90248286023015e-20
706.7669172932331,6.743840691023008e-20
708.0200501253132,6.592618670758739e-20
709.2731829573936,6.448403217976142e-20
710.5263157894736,6.310803279859713e-20
711.7794486215539,6.17944962892167e-20
713.0325814536342,6.053994051614993e-20
714.2857142857143,5.934108465056719e-20
715.5388471177945,5.819483990508255e-20
716.7919799498746,5.709830006079208e-20
718.045112781955,5.604873196073296e-20
719.2982456140351,5.504356610294052e-20
720.5513784461152,5.4080387433115564e-20
721.8045112781956,5.315692641025514e-20
723.0576441102758,5.2271050397261607e-20
724.3107769423559,5.1420755411609754e-20
725.5639097744361,5.060415825778823e-20
